filename,notes,authors,licenses,urls
shadow/adult/shadow.png,"","drjamgo@hotmail.com","CC0","https://opengameart.org/content/shadow-for-lpc-sprite"
body/bodies/female/light.png,"see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating),bluecarrot16,TheraHedwig,Evert,MuffinElZangano,Durrani,Pierre Vigier (pvigier),ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-7-womens-shirts,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-revised-character-basics,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
head/heads/human/female_small/light.png,"original head by Redshrike, reduced size head by ElizaWy","ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY",""
head/faces/female/anger/light.png,"Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman,ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head,https://opengameart.org/content/ulpc-expanded-expressions"
hair/braid/adult/fg/light_brown.png,"","Nila122,ElizaWy","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0,GPL 2.0","https://opengameart.org/content/3-hairs-for-lpc,https://opengameart.org/content/lpc-hair"
hair/braid/adult/bg/light_brown.png,"","Nila122,ElizaWy","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0,GPL 2.0","https://opengameart.org/content/3-hairs-for-lpc,https://opengameart.org/content/lpc-hair"
hat/magic/celestial/adult/black.png,"Original by Tracy, Adapted to ULPC by Big Bear Games, reduced colors by Napsio","Napsio,Michael Whitlock (bigbeargames),Tracy","CC-BY 3.0","https://opengameart.org/content/lpc-celestial-wizard-hats,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
facial/earrings/princess/female/green.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
neck/tie/necktie/female/black.png,"Originally by pennomi/laetissima/Makrohn, edited by bluecarrot16, animations and recolors by JaidynReiman","JaidynReiman,bluecarrot16,Thane Brimhall (pennomi),laetissima,Makrohn","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-2-characters,https://opengameart.org/content/lpc-gentleman"
dress/sash/female/green.png,"adapted to v3 bases and recolored by bluecarrot16","bluecarrot16,Thane Brimhall (pennomi),laetissima,Matthew Krohn (makrohn)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-2-characters"
